title,glass,garnish,recipe,ingredients,raw_ingredients
Berry Flip,Coupe glass,Dust with freshly grated nutmeg,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Giffard Crème de Mûre liqueur'], ['5 cl', ""Stone's Original Green Ginger Wine""], ['1 fresh', 'Egg yolk']]","[['4.5 cl', 'cognac'], ['2 cl', 'giffard crème de mûre liqueur'], ['5 cl', 'gin'], ['1 fresh', 'egg white']]"
French Riviera,Old-fashioned glass,Orange slice & mint sprig,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Havana Club 3 Year Old rum'], ['1 spoon', 'Apricot jam (preserve)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Honey syrup (3 honey to 1 water)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['4 cl', 'cognac'], ['1.5 cl', 'white rum'], ['1 spoon', 'apricot jam'], ['1.5 cl', 'lemon juice'], ['1.5 cl', 'honey syrup'], ['1 cl', 'sugar syrup']]"
Pleasure to Tell,Coupe glass,Orange zest twist & Luxardo maraschino cherry sprayed with chocolate bitters,STIR first 3 ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Cherry Heering cherry brandy liqueur'], ['0.5 cl', 'Disaronno amaretto'], ['4 drop', ""Bob's Chocolate bitters""], ['1 dash', 'Orange Bitters by Angostura'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]","[['4.5 cl', 'cognac'], ['1.5 cl', 'cherry brandy liqueur'], ['0.5 cl', 'amaretto'], ['4 drop', ""bob's chocolate bitters""], ['1 dash', 'angostura'], ['1.5 cl', 'chilled water']]"
Cherry Velvet,Coupe glass,Luxardo maraschino cherry,STIR all ingredients with ice and strain into chilled glass.,"[['4 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Vermouth amaro'], ['1.5 cl', 'Pedro Ximénez sherry'], ['2 dash', 'Angostura Aromatic Bitters']]","[['4 cl', 'cognac'], ['2 cl', 'vermouth amaro'], ['1.5 cl', 'pedro ximénez sherry'], ['2 dash', 'angostura']]"
Thyme for…,Coupe glass,Scorched thyme sprig,DASH bitters over sugar cube in stirring glass and MUDDLE cube to crush. ADD other ingredients and stir to dissolve sugar. Add ice and STIR. Fine strain into chilled glass.,"[['1 cube', 'Demerara / dark Muscovado / brown sugar'], ['3 dash', ""Peychaud's or other Creole-style bitters""], ['3 dash', 'Angostura Aromatic Bitters'], ['2 sprig', 'Thyme sprig'], ['5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Grand Marnier or other cognac orange liqueur'], ['1 cl', 'Antica Formula or other well aged sweet vermouth']]","[['1 cube', 'demerara / dark muscovado / brown sugar'], ['3 dash', ""peychaud's bitter""], ['3 dash', 'angostura'], ['2 sprig', 'thyme sprig'], ['5 cl', 'cognac'], ['1.5 cl', 'cognac'], ['1 cl', 'sweet vermouth']]"
The Sun King,Coupe glass,White chocolate & fig,SHAKE all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Dutch Cacao white crème de cacao'], ['1.5 cl', 'Tawny port'], ['1 cl', 'Crème de Figue'], ['1 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 drop', 'Orange flower/blossom water']]","[['4.5 cl', 'cognac'], ['2.25 cl', 'dutch cacao white crème de cacao'], ['1.5 cl', 'tawny port'], ['1 cl', 'crème de figue'], ['1 cl', 'lime juice'], ['0.5 cl', 'sugar syrup'], ['2 drop', 'orange flower/blossom water']]"
Cordial Inviter,Coupe glass,Orange zest twist (discard),STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Giffard Crème de Pêche de Vigne liqueur'], ['1.5 cl', 'Martini Extra Dry vermouth']]","[['4.5 cl', 'cognac'], ['2 cl', 'giffard crème de pêche de vigne liqueur'], ['1.5 cl', 'dry vermouth']]"
Entente Cordiale #2,Coupe glass,Dash of Angostura Bitters drawn across foam,"Dry shake all ingredients together, then shake vigorously with cubed ice and double strain into a chilled coupe glass.","[['5 cl', 'Rémy Martin 1738 Cognac'], ['0.5 cl', 'Pedro Ximénez sherry'], ['1 cl', 'Tea syrup (Breakfast tea) 2:1)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['2 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Pasteurised egg white']]","[['5 cl', 'cognac'], ['0.5 cl', 'pedro ximénez sherry'], ['1 cl', 'tea syrup  2:1)'], ['1.5 cl', 'lemon juice'], ['2 dash', 'angostura'], ['1.5 cl', 'egg white']]"
Night Cap,Coupe glass,Flamed orange zest twist,"Dash bitters over sugar cube in base of mixing glass. Add hot water, crush cube with muddler and stir to dissolve sugar. Add cognac, STIR with ice and strain into chilled glass.","[['1 cube', 'Demerara / dark Muscovado / brown sugar'], ['1 dash', 'Angostura Aromatic Bitters'], ['2 dash', ""Bob's Chocolate bitters""], ['1.5 cl', 'Hot water'], ['6 cl', 'Rémy Martin 1738 Cognac']]","[['1 cube', 'demerara / dark muscovado / brown sugar'], ['1 dash', 'angostura'], ['2 dash', ""bob's chocolate bitters""], ['1.5 cl', 'hot water'], ['6 cl', 'cognac']]"
Le Traite des Pyrenees (The Treaty of the Pyrenees),Snifter glass,Dried apricot half on rim,SMOKE the inside of glass with a lightly fragrant cigar and cover. STIR all ingredients with ice and strain into cigar smoked glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1 cl', 'Pedro Ximénez sherry'], ['2 dash', 'Angostura Aromatic Bitters'], ['1 dash', 'Peach bitters']]","[['4.5 cl', 'cognac'], ['1 cl', 'pedro ximénez sherry'], ['2 dash', 'angostura'], ['1 dash', 'peach bitters']]"
Thin Pink Line,Coupe glass,"Slowly pour 2 spoons (10ml) Peychaud's bitters onto a spot in the centre of the drink. After about a minute or so, a 'Thin Pink Line' of bitters develops below the foam.",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['5 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.5 cl', 'Giffard Orgeat Syrup'], ['2 cl', 'Pasteurised egg white']]","[['5 cl', 'cognac'], ['2 cl', 'lemon juice'], ['1 cl', 'sugar syrup'], ['0.5 cl', 'giffard orgeat syrup'], ['2 cl', 'egg white']]"
Velvet Seine,Coupe glass,Spot 2 drops of Angostura bitters on surface of drink,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Pasteurised egg white']]","[['4.5 cl', 'cognac'], ['1.5 cl', 'giffard framboise de ronce'], ['1.5 cl', 'lemon juice'], ['1.5 cl', 'sugar syrup'], ['1.5 cl', 'egg white']]"
Derniere Minute (Last Minute),Coupe glass,Lemon twist garnish,STIR all ingredients with ice and strain into chilled glass.,"[['5 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Dubonnet Red'], ['0.75 cl', 'Drambuie liqueur'], ['2 dash', 'Angostura Aromatic Bitters'], ['2 dash', ""Peychaud's or other Creole-style bitters""]]","[['5 cl', 'cognac'], ['2.25 cl', 'dubonnet red'], ['0.75 cl', 'drambuie liqueur'], ['2 dash', 'angostura'], ['2 dash', ""peychaud's bitter""]]"
The Beloved,Coupe glass,Luxardo maraschino cherry,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Rémy Martin 1738 Cognac'], ['0.75 cl', 'Mozart Chocolate Vodka'], ['0.75 cl', 'Pedro Ximénez sherry'], ['1 cl', 'Giffard Banane du Brésil liqueur'], ['1 dash', ""Peychaud's or other Creole-style bitters""], ['1 drop', ""Difford's Saline Solution (or ½ pinch salt)""]]","[['6 cl', 'cognac'], ['0.75 cl', 'vodka'], ['0.75 cl', 'pedro ximénez sherry'], ['1 cl', 'giffard banane du brésil liqueur'], ['1 dash', ""peychaud's bitter""], ['1 drop', ""difford's saline solution""]]"
L'apocalypse Ultime (The ultimate Apocalypse),Coupe glass,Orange & lemon zest twists,STIR first 5 ingredients with ice and strain into chilled glass. TOP with champagne,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Orange Curaçao liqueur'], ['1 cl', ""L'Esprit De June Liqueur""], ['2 dash', ""Peychaud's or other Creole-style bitters""], ['2 dash', ""Boker's bitters""], ['Top up with', 'Brut Champagne']]","[['4.5 cl', 'cognac'], ['1.5 cl', 'orange curaçao'], ['1 cl', ""l'esprit de june liqueur""], ['2 dash', ""peychaud's bitter""], ['2 dash', ""boker's bitters""], ['Top up with', 'brut champagne']]"
B&B Royale,Coupe glass,Mint sprig speared through raspberry,STIR first 3 ingredients with ice and strain into chilled glass. TOP with champagne.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Bénédictine D.O.M.'], ['1.5 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['4.5 cl', 'Brut Champagne']]","[['4.5 cl', 'cognac'], ['2 cl', 'bénédictine d.o.m.'], ['1.5 cl', 'giffard framboise de ronce'], ['4.5 cl', 'brut champagne']]"
Three Hundred Poems,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 spoon', 'Blackcurrant jam (preserve)']]","[['6 cl', 'cognac'], ['3 cl', 'lemon juice'], ['1.5 cl', 'sugar syrup'], ['2 spoon', 'blackcurrant jam']]"
Early Evening Fizz,Highball (max 10oz/300ml),Lemon zest twist (discard) Lemon wedge & Luxardo maraschino cherry.,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass (no ice in glass). POUR soda into drink slowly from a height in order to build a (Ramos Gin Fizz style) thick foamy head. Serve with a straw.,"[['3 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Green Chartreuse liqueur'], ['3 cl', 'Rutte Sloe Gin'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 pinch', 'Salt'], ['1.5 cl', 'Pasteurised egg white'], ['6 cl', 'Thomas Henry Soda Water']]","[['3 cl', 'cognac'], ['3 cl', 'green chartreuse liqueur'], ['3 cl', 'gin'], ['3 cl', 'lemon juice'], ['1.5 cl', 'sugar syrup'], ['1 pinch', 'salt'], ['1.5 cl', 'egg white'], ['6 cl', 'soda water']]"
Charentes Cocktail,Coupe glass,Lemon zest twist (discarded) & white grape,"MUDDLE grapes in base of mixing glass. Add other ingredients, STIR with ice and fine strain into chilled glass.","[['7 whole', 'Green grapes (seedless)'], ['5 cl', 'Rémy Martin 1738 Cognac'], ['2.5 cl', 'Pineau des Charentes rouge'], ['3 drop', ""Bob's Chocolate bitters""]]","[['7 whole', 'green grapes'], ['5 cl', 'cognac'], ['2.5 cl', 'pineau des charentes rouge'], ['3 drop', ""bob's chocolate bitters""]]"
Charentes,Coupe glass,Raspberries,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Pineau des Charentes rouge'], ['1 cl', 'Mentzendorff Kümmel liqueur'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['4.5 cl', 'cognac'], ['2 cl', 'pineau des charentes rouge'], ['1 cl', 'mentzendorff kümmel liqueur'], ['2 cl', 'lemon juice'], ['0.5 cl', 'sugar syrup']]"
MGM Grand,Coupe glass,Orange zest twist (discarded),SHAKE all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Luxardo Maraschino liqueur'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 dash', 'Orange Bitters by Angostura']]","[['4.5 cl', 'cognac'], ['1.5 cl', 'maraschino'], ['2 cl', 'lemon juice'], ['1 cl', 'sugar syrup'], ['1 dash', 'angostura']]"
Titre Provisoire (Provisional Title),Coupe glass,Orange zest twist (discard),STIR all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['0.5 cl', 'Crème de Figue'], ['0.5 cl', 'Martini Extra Dry vermouth'], ['0.5 cl', 'Bénédictine D.O.M.'], ['1 dash', 'Apple Cider vinegar']]","[['4.5 cl', 'cognac'], ['0.5 cl', 'crème de figue'], ['0.5 cl', 'dry vermouth'], ['0.5 cl', 'bénédictine d.o.m.'], ['1 dash', 'apple cider vinegar']]"
The Palace of Versailles,Coupe glass,Blackberry & basil leaf,SLAP basil to express oils. STIR all ingredients with ice and strain into chilled glass.,"[['3 fresh', 'Basil leaves'], ['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Giffard Crème de Mûre liqueur'], ['2 cl', 'Sauvignon blanc wine']]","[['3 fresh', 'basil leaves'], ['4.5 cl', 'cognac'], ['1.5 cl', 'giffard crème de mûre liqueur'], ['2 cl', 'sauvignon blanc wine']]"
Brandy Club Cocktail,Martini glass,Orange & lemon grated zest mixed with caster sugar rim,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Orange Curaçao liqueur'], ['1.5 cl', 'Oloroso sherry'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]","[['4.5 cl', 'cognac'], ['2 cl', 'orange curaçao'], ['1.5 cl', 'oloroso sherry'], ['1.5 cl', 'chilled water']]"
Chocolat a l'orange (Orange Chocolate),Snifter glass,Orange zest twist & orange chocolate,STIR all ingredients with ice and strain into a large brandy balloon over a chunk of block ice.,"[['5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Dubonnet Red'], ['1 cl', 'Grand Marnier or other cognac orange liqueur'], ['5⁄6 dash', ""Bob's Chocolate bitters""], ['1 whole', 'Cinnamon stick'], ['1 fresh', 'Orange peel']]","[['5 cl', 'cognac'], ['1.5 cl', 'dubonnet red'], ['1 cl', 'cognac'], ['5⁄6 dash', ""bob's chocolate bitters""], ['1 whole', 'cinnamon stick'], ['1 fresh', 'orange peel']]"
Bon Accord,Coupe glass,Orange zest twist,STIR all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', ""Dewar's 12 Year Old Scotch whisky""], ['1.5 cl', 'Lillet Rouge'], ['0.75 cl', 'Giffard Noir de Bourgogne Cassis'], ['1 dash', ""Peychaud's or other Creole-style bitters""]]","[['3 cl', 'cognac'], ['1.5 cl', 'scotch whisky'], ['1.5 cl', 'lillet rouge'], ['0.75 cl', 'giffard noir de bourgogne cassis'], ['1 dash', ""peychaud's bitter""]]"
The Addington,Coupe glass,Lemon zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Martini Rosso sweet vermouth'], ['1 cl', 'Bénédictine D.O.M.'], ['1 dash', ""Boker's bitters""]]","[['4.5 cl', 'cognac'], ['2.25 cl', 'red vermouth'], ['1 cl', 'bénédictine d.o.m.'], ['1 dash', ""boker's bitters""]]"
French Kiss #3,Martini glass,Raspberries,"MUDDLE raspberries in base of shaker. Add other ingredients, SHAKE with ice and strain into chilled glass.","[['5 fresh', 'Raspberries (fresh)'], ['4 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Averna Amaro'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Giffard Orgeat Syrup']]","[['5 fresh', 'raspberries'], ['4 cl', 'cognac'], ['2 cl', 'averna amaro'], ['1.5 cl', 'lime juice'], ['1.5 cl', 'giffard orgeat syrup']]"
Grape Expectations,Collins glass,Mint sprig,POUR all ingredients into glass with two-thirds crushed ice and SWIZZLE. Top with crushed ice and serve with a straw.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Rose petal liqueur'], ['2 cl', 'Sauvignon blanc wine'], ['2 cl', 'Apple juice'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['4.5 cl', 'cognac'], ['2 cl', 'rose petal liqueur'], ['2 cl', 'sauvignon blanc wine'], ['2 cl', 'apple juice'], ['2 cl', 'lemon juice'], ['1 cl', 'sugar syrup']]"
Le Chateau,Coupe glass,Grapefruit zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Bénédictine D.O.M.'], ['2 cl', 'Bittersweet orange-red aperitivo'], ['1 dash', ""Peychaud's or other Creole-style bitters""], ['1 dash', 'Orange Bitters by Angostura']]","[['4.5 cl', 'cognac'], ['2 cl', 'bénédictine d.o.m.'], ['2 cl', 'bittersweet orange-red aperitivo'], ['1 dash', ""peychaud's bitter""], ['1 dash', 'angostura']]"
Polar Express,Martini glass,Grated meringue & pinch edible charcoal powder,SHAKE first 4 ingredients with ice and strain into ice over a scoop of fior di latte (vanilla) ice-cream.,"[['6 cl', 'Rémy Martin 1738 Cognac'], ['2.5 cl', 'White chocolate grappa liqueur'], ['0.5 cl', 'Giffard Menthe Pastille white crème de menthe'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 scoop', 'Vanilla ice-cream']]","[['6 cl', 'cognac'], ['2.5 cl', 'white chocolate grappa liqueur'], ['0.5 cl', 'giffard menthe pastille white crème de menthe'], ['0.5 cl', 'sugar syrup'], ['1 scoop', 'vanilla ice-cream']]"
The Fig Easy,Old-fashioned glass,Thin fig slice,"Scoop out the soft inner flesh of fig into shaker. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass","[['1 whole', 'Figs'], ['5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Honey']]","[['1 whole', 'figs'], ['5 cl', 'cognac'], ['1.5 cl', 'honey']]"
Sainte Trinite (Holy Trinity),Coupe glass,Lemon zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'St-Germain elderflower liqueur'], ['1.5 cl', 'Yellow Chartreuse liqueur'], ['2 dash', 'Orange Bitters by Angostura']]","[['6 cl', 'cognac'], ['2 cl', 'st-germain elderflower liqueur'], ['1.5 cl', 'yellow chartreuse liqueur'], ['2 dash', 'angostura']]"
Fruits De La Passion,Coupe glass,Float half passion fruit,"Cut passion fruit in half and scoop fresh into shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1 fresh', 'Passion fruit'], ['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1 cl', 'Giffard Orgeat Syrup'], ['1 dash', 'Angostura Aromatic Bitters'], ['Top up with', 'Thomas Henry Soda Water']]","[['1 fresh', 'passion fruit'], ['4.5 cl', 'cognac'], ['1 cl', 'giffard orgeat syrup'], ['1 dash', 'angostura'], ['Top up with', 'soda water']]"
Terroir,Coupe glass,Lemon zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Chardonnay (Chablis) white wine'], ['1.5 cl', 'Wild Nettle cordial'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]","[['6 cl', 'cognac'], ['2.25 cl', 'white wine'], ['1.5 cl', 'wild nettle cordial'], ['1.5 cl', 'chilled water']]"
The Book of Kells,Snifter glass,Lime zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Irish whiskey'], ['2.25 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Martini Rosso sweet vermouth'], ['0.5 cl', 'Bénédictine D.O.M.'], ['2 dash', 'Angostura Aromatic Bitters'], ['2 dash', ""Peychaud's or other Creole-style bitters""]]","[['4.5 cl', 'irish whiskey'], ['2.25 cl', 'cognac'], ['2.25 cl', 'red vermouth'], ['0.5 cl', 'bénédictine d.o.m.'], ['2 dash', 'angostura'], ['2 dash', ""peychaud's bitter""]]"
IS talking,Martini glass,Lime wedge,STIR first ingredients with ice and strain into ice-filled glass. TOP with tonic.,"[['4 cl', 'Rémy Martin 1738 Cognac'], ['4 cl', 'Rutte Old Simon Genever'], ['2 cl', 'De Kuyper Triple Sec (40%)'], ['Top up with', 'Thomas Henry Tonic Water']]","[['4 cl', 'cognac'], ['4 cl', 'rutte old simon genever'], ['2 cl', 'triple sec'], ['Top up with', 'tonic water']]"
Repose' 1912,Coupe glass,Grapefruit zest twist,STIR first five ingredients with ice and strain into chilled glass. Top with champagne.,"[['4 cl', 'Rémy Martin 1738 Cognac'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.5 cl', 'Balsamic vinegar of Modena'], ['2 drop', ""Bob's Chocolate bitters""], ['2 drop', ""Bob's Grapefruit Bitters""], ['Top up with', 'Brut Champagne']]","[['4 cl', 'cognac'], ['0.75 cl', 'sugar syrup'], ['0.5 cl', 'balsamic vinegar of modena'], ['2 drop', ""bob's chocolate bitters""], ['2 drop', 'grapefruit bitters'], ['Top up with', 'brut champagne']]"
Coffee Thyme,Coupe glass,Thyme sprig,SHAKE all ingredients with ice and fine strain into chilled ice.,"[['5 cl', 'Rémy Martin 1738 Cognac'], ['2.5 cl', 'Espresso coffee (freshly made & hot)'], ['0.5 cl', 'Fernet liqueur'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 fresh', 'Thyme sprig']]","[['5 cl', 'cognac'], ['2.5 cl', 'espresso coffee'], ['0.5 cl', 'fernet liqueur'], ['1 cl', 'sugar syrup'], ['1 fresh', 'thyme sprig']]"
Nouvelle Histoire (New Story),Coupe glass,Mint leaf,SHAKE all ingredients with ice and strain into chilled glass.,"[['5 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Green mint (menthe verte) syrup'], ['2 dash', 'La Fée Parisienne absinthe']]","[['5 cl', 'cognac'], ['2.25 cl', 'lemon juice'], ['2.25 cl', 'orange juice'], ['1.5 cl', 'green mint  syrup'], ['2 dash', 'absinthe']]"
Elixir De Longue Vie (Elixir of Long Life),Coupe glass,Lemon zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['4 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Giffard Creme de Chataigne'], ['1.5 cl', 'Pineau des Charentes blanc'], ['0.5 cl', 'Yellow Chartreuse liqueur'], ['2 dash', 'Lemon bitters']]","[['4 cl', 'cognac'], ['1.5 cl', 'giffard creme de chataigne'], ['1.5 cl', 'pineau des charentes blanc'], ['0.5 cl', 'yellow chartreuse liqueur'], ['2 dash', 'lemon bitters']]"
Cherry Blossom #2,Snifter glass,Maraschino cherry,SHAKE first 5 ingredients with ice and strain into. Top with soda and prosecco.,"[['1.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Cherry Heering cherry brandy liqueur'], ['1 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 dash', 'Cherry bitters'], ['5 cl', 'Thomas Henry Soda Water'], ['2 cl', 'Prosecco sparkling wine']]","[['1.5 cl', 'cognac'], ['1.5 cl', 'cherry brandy liqueur'], ['1 cl', 'lemon juice'], ['0.75 cl', 'sugar syrup'], ['2 dash', 'cherry bitters'], ['5 cl', 'soda water'], ['2 cl', 'prosecco']]"
Harry Dean Stanton,Coupe glass,Luxardo maraschino cherry,STIR all ingredients with ice and strain into chilled glass.,"[['5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Bénédictine D.O.M.'], ['1 cl', 'Antica Formula or other well aged sweet vermouth'], ['1 dash', ""Bob's Chocolate bitters""]]","[['5 cl', 'cognac'], ['1.5 cl', 'bénédictine d.o.m.'], ['1 cl', 'sweet vermouth'], ['1 dash', ""bob's chocolate bitters""]]"
Mart-Inez,Coupe glass,Orange zest twist,STIR all ingredients with ice and strain into a chilled glass.,"[['4 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Rutte Old Simon Genever'], ['1.5 cl', 'Americano Bianco'], ['1.5 cl', 'Barley malt syrup (1:1)'], ['2 dash', 'Orange Bitters by Angostura']]","[['4 cl', 'cognac'], ['2 cl', 'rutte old simon genever'], ['1.5 cl', 'americano bianco'], ['1.5 cl', 'barley malt syrup'], ['2 dash', 'angostura']]"
The Corpse's Whiskers,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2 cl', 'Rémy Martin 1738 Cognac'], ['1 cl', 'Martini Extra Dry vermouth'], ['1 cl', 'Lillet Blanc (or other aromatized wine)'], ['1 cl', 'Orange Curaçao liqueur'], ['0.5 cl', 'La Fée Parisienne absinthe'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Demerara / dark Muscovado sugar syrup (2 sugar to 1 water)']]","[['2 cl', 'cognac'], ['1 cl', 'dry vermouth'], ['1 cl', 'lillet blanc'], ['1 cl', 'orange curaçao'], ['0.5 cl', 'absinthe'], ['2 cl', 'lemon juice'], ['0.75 cl', 'demerara syrup']]"
Peach '15,Collins glass,Peach slices & mint sprig,SHAKE first 4 ingredients with ice and strain into ice-filled glass. TOP with champagne.,"[['3 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['2 cl', 'Giffard Crème de Pêche de Vigne liqueur'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Brut Champagne']]","[['3 cl', 'cognac'], ['3 cl', 'lemon juice'], ['2 cl', 'giffard crème de pêche de vigne liqueur'], ['1 cl', 'sugar syrup'], ['Top up with', 'brut champagne']]"
Rosa Picante Margarita,Coupe glass,Rose-Sea salt rim (optional) Rose petal (optional),SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Patrón Silver blanco tequila'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Ginger sugar syrup'], ['1 fresh', 'Jalapeno slice'], ['2 dash', 'Rose water']]","[['6 cl', 'tequila'], ['2.25 cl', 'lime juice'], ['0.75 cl', 'sugar syrup'], ['1.5 cl', 'gin'], ['1 fresh', 'jalapeno slice'], ['2 dash', 'rose water']]"
