title,glass,garnish,recipe,ingredients,raw_ingredients
Aldo's Honey & Marmalade Dram,Martini glass,Orange zest twist,"STIR honey with Scotch in base of shaker until honey dissolves. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['6 cl', 'Blended Scotch whisky'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['3 cl', 'Orange juice (freshly squeezed)'], ['2 1⁄2 spoon', 'Honey']]","[['6 cl', 'scotch whisky'], ['3 cl', 'lemon juice'], ['3 cl', 'orange juice'], ['2 1⁄2 spoon', 'honey']]"
Astrolite Martini,Martini glass,Drop lemon twist into glass.,Stir all of the ingredients over ice and strain into a martini glass.,"[['4.5 cl', 'Prairie Organic Vodka 2008'], ['3 cl', 'Pierre Ferrand Orange Curaçao'], ['1 cl', 'Rothman & Winter Crème de Violette Liqueur'], ['1 dash', 'Angostura Aromatic Bitters'], ['0.75 cl', 'Disaronno amaretto']]","[['4.5 cl', 'vodka'], ['3 cl', 'orange curaçao'], ['1 cl', 'rothman & winter crème de violette liqueur'], ['1 dash', 'angostura'], ['0.75 cl', 'amaretto']]"
My Cherie Amour,Nick & Nora glass,Luxardo maraschino cherry,Add all ingredients to a cocktail shaker with plenty of ice. Strain into glass,"[['5 cl', 'Grey Goose Vodka'], ['2.5 cl', 'Averna amaro'], ['2.5 cl', 'Pedro Ximénez sherry'], ['1 dash', 'Orange Bitters by Angostura']]","[['5 cl', 'vodka'], ['2.5 cl', 'averna amaro'], ['2.5 cl', 'pedro ximénez sherry'], ['1 dash', 'angostura']]"
Natalia's floral French 75 Cocktail,Flute glass,Lemon zest twist on rim,"STIR powdered sugar with lemon juice in base of shaker until sugar dissolves. Add gin, SHAKE with ice and fine strain into chilled glass. TOP with champagne and lightly stir. (Consider pouring half the champagne into the glass first to help reduce foaming.)","[['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1 1⁄2 spoon', 'Powdered sugar (ground in mortar and pestle)'], ['4.5 cl', 'Gin'], ['7.5 cl', 'Brut Champagne'], ['0.75 cl', 'Suze gentian liqueur']]","[['1.5 cl', 'lemon juice'], ['1 1⁄2 spoon', 'white sugar'], ['4.5 cl', 'gin'], ['7.5 cl', 'brut champagne'], ['0.75 cl', 'suze']]"
Olivier's Ultima Palabra,Coupe glass,Thyme sprig,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2.25 cl', 'Maraschino liqueur'], ['2.25 cl', 'Pineapple juice (fresh pressed)'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Green (Verte) Chartreuse liqueur'], ['3 cl', 'Mezcal']]","[['2.25 cl', 'maraschino liqueur'], ['2.25 cl', 'pineapple juice'], ['2.25 cl', 'lime juice'], ['1.5 cl', 'green chartreuse liqueur'], ['3 cl', 'mezcal']]"
Jeff's Red Hook,Coupe glass,Luxardo Maraschino cherry,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['1.5 cl', 'Punt E Mes or other full-bodied vermouth'], ['0.75 cl', 'Luxardo Maraschino liqueur']]","[['6 cl', 'rye whiskey'], ['1.5 cl', 'punt e mes or other full-bodied vermouth'], ['0.75 cl', 'maraschino']]"
Sabot,Coupe glass,Lemon zest twist,SHAKE first 5 ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass. TOP with champagne.,"[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Pasteurised egg white'], ['2.25 cl', 'Brut Champagne']]","[['4.5 cl', 'gin'], ['2.25 cl', 'triple sec'], ['2.25 cl', 'lemon juice'], ['1 cl', 'sugar syrup'], ['1.5 cl', 'egg white'], ['2.25 cl', 'brut champagne']]"
Troy Monson,Old-fashioned glass,Fresh fennel slice,Place ingredients in a cocktail shaker with ice. Shake and serve over ice.,"[['6 cl', 'Vodka'], ['4.5 cl', 'Blood orange juice'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Fennel syrup (fennel infused sugar syrup)']]","[['6 cl', 'vodka'], ['4.5 cl', 'blood orange juice'], ['3 cl', 'lemon juice'], ['1.5 cl', 'fennel syrup']]"
The Kamala,Martini (small) glass,Fresh lime wheel and slice of ginger,Mix all ingredients in a cocktail shaker. Shake and dispense into chilled coupe glass,"[['6 cl', 'Rum Fire Overproof Jamaican rum'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.25 cl', 'Homemade ginger juice syrup (1:1)'], ['1.25 cl', 'Cardamom sugar syrup']]","[['6 cl', 'rum fire overproof jamaican rum'], ['3 cl', 'lime juice'], ['1.25 cl', 'gin'], ['1.25 cl', 'cardamom sugar syrup']]"
The RBG,Coupe glass,Fresh orange slice,Place all ingredients in cocktail shaker with ice. Shake and serve in a chilled coupe glass.,"[['4.5 cl', ""Myers's Original Dark rum""], ['1.5 cl', ""King's Ginger liqueur""], ['0.75 cl', 'Cointreau triple sec liqueur'], ['1 whole', 'Green cardamom pods']]","[['4.5 cl', 'gin'], ['1.5 cl', 'gin'], ['0.75 cl', 'triple sec'], ['1 whole', 'green cardamom pods']]"
Jakub's Celtic Margarita,Martini glass,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Blended Scotch whisky'], ['2.25 cl', 'Triple sec liqueur (40%)'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['4.5 cl', 'scotch whisky'], ['2.25 cl', 'triple sec'], ['2.25 cl', 'lemon juice'], ['1 cl', 'sugar syrup']]"
Clément's Favorite,Nick & Nora glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Gin'], ['3 cl', 'Apricot (brandy) liqueur'], ['3 cl', 'Dry vermouth'], ['0.5 cl', 'Lemon juice (freshly squeezed)'], ['2 dash', ""Regans' Orange Bitters No.6""]]","[['3 cl', 'gin'], ['3 cl', 'apricot liqueur'], ['3 cl', 'dry vermouth'], ['0.5 cl', 'lemon juice'], ['2 dash', ""regans' orange bitters no.6""]]"
Strawberry Jam & Balsamic Martini,Martini glass,Strawberry,"MUDDLE strawberries in base of shaker good and proper like. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1.5 cl', 'Strawberry jam/preserve/conserve'], ['0.5 cl', 'Balsamic vinegar of Modena'], ['7.5 cl', 'Vodka'], ['4 fresh', 'Small ripe strawberries (hulled)']]","[['1.5 cl', 'strawberry jam/preserve/conserve'], ['0.5 cl', 'balsamic vinegar of modena'], ['7.5 cl', 'vodka'], ['4 fresh', 'strawberries']]"
Tine's Delight,Sour or Martini/Coupette glass,Garnish with a candy,Shake and strain in a chilled cocktail glass.,"[['4.5 cl', 'Havana Club 3 Year Old rum'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'De Kuyper Pucker Watermelon Schnapps'], ['1.5 cl', 'St. Elizabeth Allspice Dram Liqueur'], ['1.5 cl', 'Aperol Aperitivo'], ['0.75 cl', 'Giffard Grenadine syrup']]","[['4.5 cl', 'white rum'], ['2.25 cl', 'lime juice'], ['1.5 cl', 'de kuyper pucker watermelon schnapps'], ['1.5 cl', 'st. elizabeth allspice dram liqueur'], ['1.5 cl', 'aperol'], ['0.75 cl', 'giffard grenadine syrup']]"
Mexican Jumping Bean,Coupe glass,Float 3 coffee beans,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5 cl', 'Patrón Reposado tequila'], ['3 cl', 'Espresso coffee (freshly made & hot)'], ['1.5 cl', 'Agave syrup']]","[['5 cl', 'tequila'], ['3 cl', 'espresso coffee'], ['1.5 cl', 'agave syrup']]"
A Still Dawn,Nick & Nora glass,None,STIR all ingredients with ice and strain into chilled glass.,"[['2.5 cl', 'Del Maguey VIDA mezcal'], ['2.5 cl', 'Rutte Dry Gin'], ['0.75 cl', 'Giffard Noir de Bourgogne Cassis'], ['0.5 cl', 'Averna Amaro'], ['2 dash', 'Pear bitters']]","[['2.5 cl', 'mezcal'], ['2.5 cl', 'gin'], ['0.75 cl', 'giffard noir de bourgogne cassis'], ['0.5 cl', 'averna amaro'], ['2 dash', 'pear bitters']]"
Matt's Sunray,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5 cl', 'Bourbon whiskey'], ['0.75 cl', 'Suze gentian liqueur'], ['3 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Lillet Rosé']]","[['5 cl', 'bourbon whiskey'], ['0.75 cl', 'suze'], ['3 cl', 'orange juice'], ['1.5 cl', 'lillet rosé']]"
Killeen's Combustible Edison,Coupe glass,Flamed lemon zest twist,STIR first 3 ingredients with ice and strain into chilled glass. Warm cognac in a metal ladle and ignite before pouring (from a height) as a flaming stream into the glass already containing other ingredients. PLEASE EXERCISE CAUTION!,"[['2.25 cl', 'Italian red bitter liqueur'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['4.5 cl', 'Cognac']]","[['2.25 cl', 'italian red bitter liqueur'], ['2.25 cl', 'lemon juice'], ['1 cl', 'sugar syrup'], ['4.5 cl', 'cognac']]"
Tennessee Tea,Coupe glass,Lemon zest,"- Pour liquids into the mixing glass filled with ice and stir well until cold
- Strain liquids into the frozen Coupe glass
- Decorate with lemon zest","[['2.5 cl', ""Jack Daniel's Honey liqueur""], ['2.5 cl', ""Plantation Stiggins' Fancy Pineapple Rum""], ['5 cl', 'Black tea (hot)'], ['2 cl', 'Monin Vanilla Syrup'], ['1 cl', 'Montenegro amaro']]","[['2.5 cl', ""jack daniel's honey liqueur""], ['2.5 cl', 'gin'], ['5 cl', 'black tea'], ['2 cl', 'monin vanilla syrup'], ['1 cl', 'montenegro amaro']]"
Summer Chamberlain,Collins glass,Slice of cucumber and a sugar snap pea or a cucumber ribbon around the inside of the glass,PUT two cucumber slices in the bottom of a chilled glass. SHAKE the first four ingredients with ice. STRAIN into an ice-filled glass. TOP with soda water and stir.,"[['3 cl', ""Hendrick's Gin""], ['3 cl', 'St-Germain elderflower liqueur'], ['0.5 cl', 'Seedlip Garden 108'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['Top up with', 'Fever-Tree Premium Soda Water'], ['2 slice', 'Cucumber (fresh)']]","[['3 cl', 'gin'], ['3 cl', 'st-germain elderflower liqueur'], ['0.5 cl', 'seedlip garden 108'], ['3 cl', 'lemon juice'], ['Top up with', 'fever-tree premium soda water'], ['2 slice', 'cucumber']]"
Circus Brodwall,Large wine glass,Orange slice,Shake an ingredients (except ginger beer) with ice. Pour over ice filled glass and top up with ginger beer.,"[['4 cl', 'Vodka'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['6 cl', 'Cranberry juice (sweetened)'], ['Top up with', 'Ginger beer'], ['3 Splash', 'Angostura Aromatic Bitters']]","[['4 cl', 'vodka'], ['1.5 cl', 'lemon juice'], ['6 cl', 'cranberry juice'], ['Top up with', 'gin'], ['3 Splash', 'angostura']]"
